date,hour,systemMarginalPrice
2026-03-20T07:00:00+03:00,2026-03-20T07:00:00+03:00,2900.0
2026-03-20T08:00:00+03:00,2026-03-20T08:00:00+03:00,2249.0
2026-03-20T09:00:00+03:00,2026-03-20T09:00:00+03:00,1700.0
2026-03-20T10:00:00+03:00,2026-03-20T10:00:00+03:00,100.01
2026-03-20T11:00:00+03:00,2026-03-20T11:00:00+03:00,0.0
2026-03-20T12:00:00+03:00,2026-03-20T12:00:00+03:00,0.0
2026-03-20T13:00:00+03:00,2026-03-20T13:00:00+03:00,0.0
2026-03-20T14:00:00+03:00,2026-03-20T14:00:00+03:00,0.0
2026-03-20T15:00:00+03:00,2026-03-20T15:00:00+03:00,0.0
2026-03-20T16:00:00+03:00,2026-03-20T16:00:00+03:00,0.0
2026-03-20T17:00:00+03:00,2026-03-20T17:00:00+03:00,0.0
2026-03-20T18:00:00+03:00,2026-03-20T18:00:00+03:00,1000.0
2026-03-20T19:00:00+03:00,2026-03-20T19:00:00+03:00,2249.0
2026-03-20T20:00:00+03:00,2026-03-20T20:00:00+03:00,2249.0
2026-03-20T21:00:00+03:00,2026-03-20T21:00:00+03:00,2249.0
2026-03-20T22:00:00+03:00,2026-03-20T22:00:00+03:00,1855.85
2026-03-20T23:00:00+03:00,2026-03-20T23:00:00+03:00,1429.0
2026-03-21T00:00:00+03:00,2026-03-21T00:00:00+03:00,239.0
2026-03-21T01:00:00+03:00,2026-03-21T01:00:00+03:00,0.0
2026-03-21T02:00:00+03:00,2026-03-21T02:00:00+03:00,1000.0
2026-03-21T03:00:00+03:00,2026-03-21T03:00:00+03:00,1690.0
2026-03-21T04:00:00+03:00,2026-03-21T04:00:00+03:00,1400.0
2026-03-21T05:00:00+03:00,2026-03-21T05:00:00+03:00,1684.0
2026-03-21T06:00:00+03:00,2026-03-21T06:00:00+03:00,2900.0
2026-03-21T07:00:00+03:00,2026-03-21T07:00:00+03:00,71.0
2026-03-21T08:00:00+03:00,2026-03-21T08:00:00+03:00,0.0
2026-03-21T09:00:00+03:00,2026-03-21T09:00:00+03:00,0.0
2026-03-21T10:00:00+03:00,2026-03-21T10:00:00+03:00,0.0
2026-03-21T11:00:00+03:00,2026-03-21T11:00:00+03:00,0.0
2026-03-21T12:00:00+03:00,2026-03-21T12:00:00+03:00,0.0
2026-03-21T13:00:00+03:00,2026-03-21T13:00:00+03:00,0.0
2026-03-21T14:00:00+03:00,2026-03-21T14:00:00+03:00,0.0
2026-03-21T15:00:00+03:00,2026-03-21T15:00:00+03:00,0.0
2026-03-21T16:00:00+03:00,2026-03-21T16:00:00+03:00,0.0
2026-03-21T17:00:00+03:00,2026-03-21T17:00:00+03:00,0.0
2026-03-21T18:00:00+03:00,2026-03-21T18:00:00+03:00,0.0
2026-03-21T19:00:00+03:00,2026-03-21T19:00:00+03:00,1.0
2026-03-21T20:00:00+03:00,2026-03-21T20:00:00+03:00,1666.99
2026-03-21T21:00:00+03:00,2026-03-21T21:00:00+03:00,1499.99
2026-03-21T22:00:00+03:00,2026-03-21T22:00:00+03:00,271.0
2026-03-21T23:00:00+03:00,2026-03-21T23:00:00+03:00,250.0
2026-03-22T00:00:00+03:00,2026-03-22T00:00:00+03:00,1062.0
2026-03-22T01:00:00+03:00,2026-03-22T01:00:00+03:00,0.0
2026-03-22T02:00:00+03:00,2026-03-22T02:00:00+03:00,0.0
2026-03-22T03:00:00+03:00,2026-03-22T03:00:00+03:00,0.0
2026-03-22T04:00:00+03:00,2026-03-22T04:00:00+03:00,0.0
2026-03-22T05:00:00+03:00,2026-03-22T05:00:00+03:00,0.0
2026-03-22T06:00:00+03:00,2026-03-22T06:00:00+03:00,0.0
2026-03-22T07:00:00+03:00,2026-03-22T07:00:00+03:00,0.0
2026-03-22T08:00:00+03:00,2026-03-22T08:00:00+03:00,0.0
2026-03-22T09:00:00+03:00,2026-03-22T09:00:00+03:00,0.0
2026-03-22T10:00:00+03:00,2026-03-22T10:00:00+03:00,0.0
2026-03-22T11:00:00+03:00,2026-03-22T11:00:00+03:00,1429.0
2026-03-22T12:00:00+03:00,2026-03-22T12:00:00+03:00,3250.0
2026-03-22T13:00:00+03:00,2026-03-22T13:00:00+03:00,3200.02
2026-03-22T14:00:00+03:00,2026-03-22T14:00:00+03:00,1855.85
2026-03-22T15:00:00+03:00,2026-03-22T15:00:00+03:00,0.0
2026-03-22T16:00:00+03:00,2026-03-22T16:00:00+03:00,0.0
2026-03-22T17:00:00+03:00,2026-03-22T17:00:00+03:00,0.0
2026-03-22T18:00:00+03:00,2026-03-22T18:00:00+03:00,900.0
2026-03-22T19:00:00+03:00,2026-03-22T19:00:00+03:00,3250.0
2026-03-22T20:00:00+03:00,2026-03-22T20:00:00+03:00,3000.0
2026-03-22T21:00:00+03:00,2026-03-22T21:00:00+03:00,2800.0
2026-03-22T22:00:00+03:00,2026-03-22T22:00:00+03:00,2041.43
2026-03-22T23:00:00+03:00,2026-03-22T23:00:00+03:00,1855.85
2026-03-23T00:00:00+03:00,2026-03-23T00:00:00+03:00,0.0
2026-03-23T01:00:00+03:00,2026-03-23T01:00:00+03:00,0.0
2026-03-23T02:00:00+03:00,2026-03-23T02:00:00+03:00,1.0
2026-03-23T03:00:00+03:00,2026-03-23T03:00:00+03:00,0.0
